# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.ms,1704662035554000000,1704662095607000000,1
jps.library.entities.serializer.load.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.save.cache.to.file.ms,1704662035554000000,1704662095607000000,380
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1704662035554000000,1704662095607000000,4
workspaceModel.mutableEntityStorage.replace.by.source.ms,1704662035554000000,1704662095607000000,69
jps.library.entities.serializer.save.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1704662035554000000,1704662095607000000,294
jps.facet.change.listener.process.change.events.ms,1704662035554000000,1704662095607000000,1
jps.app.storage.content.writer.save.component.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1704662035554000000,1704662095607000000,6
workspaceModel.moduleBridgeLoader.loading.modules.ms,1704662035554000000,1704662095607000000,4893
workspaceModel.moduleBridge.facet.initialization.ms,1704662035554000000,1704662095607000000,1
jps.artifact.entities.serializer.save.entities.ms,1704662035554000000,1704662095607000000,0
jps.global.get.library.by.name.ms,1704662035554000000,1704662095607000000,0
jps.module.iml.entities.serializer.load.entities.ms,1704662035554000000,1704662095607000000,50
jps.load.project.to.empty.storage.ms,1704662035554000000,1704662095607000000,136
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1704662035554000000,1704662095607000000,0
jps.app.storage.content.reader.load.component.ms,1704662035554000000,1704662095607000000,0
workspaceModel.orphan.listener.update.ms,1704662035554000000,1704662095607000000,5
workspaceModel.global.updates.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1704662035554000000,1704662095607000000,0
jps.project.serializers.save.ms,1704662035554000000,1704662095607000000,3
jps.global.handle.before.change.events.ms,1704662035554000000,1704662095607000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1704662035554000000,1704662095607000000,0
jps.global.get.library.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleBridge.before.changed.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleBridge.update.option.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1704662035554000000,1704662095607000000,0
jps.global.handle.changed.events.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1704662035554000000,1704662095607000000,1
workspaceModel.global.updates.count,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1704662035554000000,1704662095607000000,14
jps.global.get.libraries.ms,1704662035554000000,1704662095607000000,1
workspaceModel.load.cache.from.file.ms,1704662035554000000,1704662095607000000,810
workspaceModel.moduleManagerBridge.create.module.instance.ms,1704662035554000000,1704662095607000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1704662035554000000,1704662095607000000,0
jps.artifact.entities.serializer.load.entities.ms,1704662035554000000,1704662095607000000,0
jps.save.changed.project.entities.ms,1704662035554000000,1704662095607000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1704662035554000000,1704662095607000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1704662035554000000,1704662095607000000,30
workspaceModel.moduleManagerBridge.get.modules.ms,1704662035554000000,1704662095607000000,0
jps.load.initial.state.ms,1704662035554000000,1704662095607000000,11
FileNameCache.totalMisses,1704662035554000000,1704662095607000000,995128
FileNameCache.queries,1704662035554000000,1704662095607000000,13652666
workspaceModel.initializing.ms,1704662035554000000,1704662095607000000,4
workspaceModel.pre.handlers.ms,1704662035554000000,1704662095607000000,0
workspaceModel.update.unloaded.entities.ms,1704662035554000000,1704662095607000000,0
workspaceModel.updates.precise.ms,1704662035554000000,1704662095607000000,187
workspaceModel.loading.from.cache.ms,1704662035554000000,1704662095607000000,835
