# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.build.module.graph.ms,1699828124572000000,1699828184623000000,0
jps.library.entities.serializer.save.entities.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.entities.ms,1699828124572000000,1699828184623000000,1
jps.facet.change.listener.init.bridge.ms,1699828124572000000,1699828184623000000,0
workspaceModel.load.cache.from.file.ms,1699828124572000000,1699828184623000000,396
workspaceModel.mutableEntityStorage.add.diff.ms,1699828124572000000,1699828184623000000,0
workspaceModel.sync.entities.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1699828124572000000,1699828184623000000,2279
workspaceModel.mutableEntityStorage.referrers.ms,1699828124572000000,1699828184623000000,0
jps.global.handle.before.change.events.ms,1699828124572000000,1699828184623000000,0
workspaceModel.global.updates.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1699828124572000000,1699828184623000000,1
jps.project.serializers.load.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1699828124572000000,1699828184623000000,153
workspaceModel.save.cache.to.file.ms,1699828124572000000,1699828184623000000,97
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1699828124572000000,1699828184623000000,0
jps.load.initial.state.ms,1699828124572000000,1699828184623000000,17
jps.save.changed.project.entities.ms,1699828124572000000,1699828184623000000,2
jps.library.entities.serializer.load.entities.ms,1699828124572000000,1699828184623000000,0
jps.global.handle.changed.events.ms,1699828124572000000,1699828184623000000,0
jps.save.global.entities.ms,1699828124572000000,1699828184623000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1699828124572000000,1699828184623000000,0
jps.facet.change.listener.process.change.events.ms,1699828124572000000,1699828184623000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1699828124572000000,1699828184623000000,0
jps.app.storage.content.reader.load.component.ms,1699828124572000000,1699828184623000000,0
jps.global.initialize.library.bridges.after.loading.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleBridge.before.changed.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1699828124572000000,1699828184623000000,1
workspaceModel.moduleBridge.update.option.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1699828124572000000,1699828184623000000,0
workspaceModel.orphan.listener.update.ms,1699828124572000000,1699828184623000000,6
jps.apply.loaded.storage.ms,1699828124572000000,1699828184623000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1699828124572000000,1699828184623000000,0
jps.artifact.entities.serializer.save.entities.ms,1699828124572000000,1699828184623000000,0
workspaceModel.global.apply.state.to.project.ms,1699828124572000000,1699828184623000000,90
workspaceModel.mutableEntityStorage.entities.by.source.ms,1699828124572000000,1699828184623000000,0
jps.project.serializers.save.ms,1699828124572000000,1699828184623000000,2
jps.artifact.entities.serializer.load.entities.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1699828124572000000,1699828184623000000,0
jps.global.initialize.library.bridges.ms,1699828124572000000,1699828184623000000,1
jps.facet.change.listener.before.change.events.ms,1699828124572000000,1699828184623000000,1
jps.app.storage.content.writer.save.component.ms,1699828124572000000,1699828184623000000,0
workspaceModel.global.updates.count,1699828124572000000,1699828184623000000,0
jps.storage.jps.conf.reader.load.component.ms,1699828124572000000,1699828184623000000,43
jps.global.get.library.ms,1699828124572000000,1699828184623000000,0
jps.global.get.libraries.ms,1699828124572000000,1699828184623000000,0
jps.global.get.library.by.name.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1699828124572000000,1699828184623000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1699828124572000000,1699828184623000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1699828124572000000,1699828184623000000,5
jps.reload.project.entities.ms,1699828124572000000,1699828184623000000,0
jps.load.project.to.empty.storage.ms,1699828124572000000,1699828184623000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1699828124572000000,1699828184623000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1699828124572000000,1699828184623000000,0
FlushQueue.queueSizeMax,1699828124572000000,1699828184623000000,110
FlushQueue.waitingTime90PNs,1699828124572000000,1699828184623000000,392167423
NonBlockingReadAction.finalizedExecutionsCount,1699828124572000000,1699828184623000000,49
NonBlockingReadAction.finalizedExecutionTimeUs,1699828124572000000,1699828184623000000,6834276
AWTEventQueue.dispatchTime90PNs,1699828124572000000,1699828184623000000,2441215
FlushQueue.executionTimeAvgNs,1699828124572000000,1699828184623000000,7009192.428904429
FlushQueue.executionTime90PNs,1699828124572000000,1699828184623000000,1556479
FlushQueue.waitingTimeMaxNs,1699828124572000000,1699828184623000000,2634022911
FlushQueue.queueSizeAvg,1699828124572000000,1699828184623000000,8.168997668997669
AWTEventQueue.dispatchTimeAvgNs,1699828124572000000,1699828184623000000,4652540.807541241
FlushQueue.waitingTimeAvgNs,1699828124572000000,1699828184623000000,1.1501891784615384E8
AWTEventQueue.dispatchTimeMaxNs,1699828124572000000,1699828184623000000,4664066047
FlushQueue.queueSize90P,1699828124572000000,1699828184623000000,26
NonBlockingReadAction.failedExecutionTimeUs,1699828124572000000,1699828184623000000,32494
FlushQueue.executionTimeMaxNs,1699828124572000000,1699828184623000000,2600468479
FlushQueue.tasksExecuted,1699828124572000000,1699828184623000000,1716
AWTEventQueue.dispatchTimeTotalNS,1699828124572000000,1699828184623000000,23691098300
AWTEventQueue.eventsDispatched,1699828124572000000,1699828184623000000,5092
NonBlockingReadAction.failedExecutionsCount,1699828124572000000,1699828184623000000,1
Indexes.stubs.lookupDurationMaxMs,1699828124572000000,1699828184623000000,0.0
Indexes.stubs.lookupDurationAvgMs,1699828124572000000,1699828184623000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1699828124572000000,1699828184623000000,0.0
IndexesFlusher.totalFlushesRetried,1699828124572000000,1699828184623000000,0
Indexes.entries.lookupDurationAvgMs,1699828124572000000,1699828184623000000,72.0
IndexesFlusher.totalContentionQuotaSpent,1699828124572000000,1699828184623000000,0
Indexes.entries.lookupDuration90PMs,1699828124572000000,1699828184623000000,72.0
Indexes.stubs.lookups,1699828124572000000,1699828184623000000,0.0
Indexes.allKeys.lookups,1699828124572000000,1699828184623000000,0.0
Indexes.allKeys.lookupDuration90PMs,1699828124572000000,1699828184623000000,0.0
IndexesFlusher.totalFlushes,1699828124572000000,1699828184623000000,72
VFSFlusher.totalFlushesRetried,1699828124572000000,1699828184623000000,0
Indexes.entries.lookupDurationMaxMs,1699828124572000000,1699828184623000000,72.0
Indexes.entries.lookups,1699828124572000000,1699828184623000000,1.0
VFSFlusher.totalFlushingTimeUs,1699828124572000000,1699828184623000000,1000826
VFSFlusher.totalFlushes,1699828124572000000,1699828184623000000,30
Indexes.allKeys.lookupDurationAvgMs,1699828124572000000,1699828184623000000,0.0
IndexesFlusher.totalFlushingTimeUs,1699828124572000000,1699828184623000000,13796625
VFSFlusher.totalContentionQuotaSpent,1699828124572000000,1699828184623000000,0
Indexes.stubs.lookupDuration90PMs,1699828124572000000,1699828184623000000,0.0
FileNameCache.fastMisses,1699828124572000000,1699828184623000000,947282
FileNameCache.queries,1699828124572000000,1699828184623000000,8444716
FileNameCache.totalMisses,1699828124572000000,1699828184623000000,354128
JVM.GC.collections,1699828124572000000,1699828184623000000,32
JVM.threadCount,1699828124572000000,1699828184623000000,134
JVM.usedHeapBytes,1699828124572000000,1699828184623000000,447933440
JVM.totalCpuTimeMs,1699828124572000000,1699828184623000000,111593
JVM.maxHeapBytes,1699828124572000000,1699828184623000000,1572864000
JVM.usedNativeBytes,1699828124572000000,1699828184623000000,307780152
JVM.GC.collectionTimesMs,1699828124572000000,1699828184623000000,779
OS.loadAverage,1699828124572000000,1699828184623000000,-1.0
JVM.maxNativeBytes,1699828124572000000,1699828184623000000,-1
FilePageCache.disposedBuffers,1699828124572000000,1699828184623000000,3
StorageLockContext.competingThreads.90P,1699828124572000000,1699828184623000000,0
StorageLockContext.competingThreads.max,1699828124572000000,1699828184623000000,1
StreamlinedBlobStorage.recordsRelocated,1699828124572000000,1699828184623000000,0
StreamlinedBlobStorage.recordsAllocated,1699828124572000000,1699828184623000000,1129921
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1699828124572000000,1699828184623000000,257024000
FilePageCache.capacityInBytes,1699828124572000000,1699828184623000000,524288000
FilePageCache.maxRegisteredFiles,1699828124572000000,1699828184623000000,288
DirectByteBufferAllocator.hits,1699828124572000000,1699828184623000000,3
StorageLockContext.competingThreads.avg,1699828124572000000,1699828184623000000,0.01904761904761905
FilePageCache.pageFastCacheHits,1699828124572000000,1699828184623000000,910814
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1699828124572000000,1699828184623000000,74112410
FilePageCache.maxCacheSizeInBytes,1699828124572000000,1699828184623000000,257024000
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1699828124572000000,1699828184623000000,32616180
FilePageCache.totalPageDisposalsUs,1699828124572000000,1699828184623000000,1229
DirectByteBufferAllocator.disposed,1699828124572000000,1699828184623000000,0
DirectByteBufferAllocator.reclaimed,1699828124572000000,1699828184623000000,3
DirectByteBufferAllocator.misses,1699828124572000000,1699828184623000000,188
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1699828124572000000,1699828184623000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1699828124572000000,1699828184623000000,0
FilePageCache.uncachedFileAccess,1699828124572000000,1699828184623000000,102
FilePageCache.totalPageLoadsUs,1699828124572000000,1699828184623000000,1644985
StreamlinedBlobStorage.recordsDeleted,1699828124572000000,1699828184623000000,81609
FilePageCache.pageHits,1699828124572000000,1699828184623000000,12132
FilePageCache.pageLoads,1699828124572000000,1699828184623000000,191
workspaceModel.update.unloaded.entities.ms,1699828124572000000,1699828184623000000,0
workspaceModel.pre.handlers.ms,1699828124572000000,1699828184623000000,1
workspaceModel.loading.from.cache.ms,1699828124572000000,1699828184623000000,403
workspaceModel.updates.count,1699828124572000000,1699828184623000000,2
workspaceModel.updates.precise.ms,1699828124572000000,1699828184623000000,12
workspaceModel.loading.total.ms,1699828124572000000,1699828184623000000,467
workspaceModel.init.bridges.ms,1699828124572000000,1699828184623000000,4
workspaceModel.updates.ms,1699828124572000000,1699828184623000000,91
workspaceModel.to.snapshot.ms,1699828124572000000,1699828184623000000,0
workspaceModel.collect.changes.ms,1699828124572000000,1699828184623000000,0
workspaceModel.check.recursive.update.ms,1699828124572000000,1699828184623000000,4
workspaceModel.replace.project.model.ms,1699828124572000000,1699828184623000000,0
workspaceModel.initializing.ms,1699828124572000000,1699828184623000000,4
workspaceModel.moduleManagerBridge.build.module.graph.ms,1699828184623000000,1699828244596000000,0
jps.library.entities.serializer.save.entities.ms,1699828184623000000,1699828244596000000,0
workspaceModel.mutableEntityStorage.entities.ms,1699828184623000000,1699828244596000000,1
jps.facet.change.listener.init.bridge.ms,1699828184623000000,1699828244596000000,0
workspaceModel.load.cache.from.file.ms,1699828184623000000,1699828244596000000,396
workspaceModel.mutableEntityStorage.add.diff.ms,1699828184623000000,1699828244596000000,0
workspaceModel.sync.entities.ms,1699828184623000000,1699828244596000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1699828184623000000,1699828244596000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1699828184623000000,1699828244596000000,2279
workspaceModel.mutableEntityStorage.referrers.ms,1699828184623000000,1699828244596000000,0
jps.global.handle.before.change.events.ms,1699828184623000000,1699828244596000000,0
workspaceModel.global.updates.ms,1699828184623000000,1699828244596000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1699828184623000000,1699828244596000000,1
jps.project.serializers.load.ms,1699828184623000000,1699828244596000000,0
