# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedHeapBytes,1699743755367000000,1699743815388000000,441677824
JVM.totalCpuTimeMs,1699743755367000000,1699743815388000000,166015
JVM.GC.collectionTimesMs,1699743755367000000,1699743815388000000,1154
JVM.usedNativeBytes,1699743755367000000,1699743815388000000,325647360
JVM.maxHeapBytes,1699743755367000000,1699743815388000000,1572864000
OS.loadAverage,1699743755367000000,1699743815388000000,-1.0
JVM.threadCount,1699743755367000000,1699743815388000000,198
JVM.GC.collections,1699743755367000000,1699743815388000000,83
JVM.maxNativeBytes,1699743755367000000,1699743815388000000,-1
FlushQueue.queueSize90P,1699743755367000000,1699743815388000000,64
FlushQueue.executionTimeAvgNs,1699743755367000000,1699743815388000000,3611308.375673595
FlushQueue.tasksExecuted,1699743755367000000,1699743815388000000,2598
AWTEventQueue.dispatchTimeAvgNs,1699743755367000000,1699743815388000000,4282381.155279503
FlushQueue.waitingTime90PNs,1699743755367000000,1699743815388000000,620756991
FlushQueue.queueSizeMax,1699743755367000000,1699743815388000000,132
AWTEventQueue.dispatchTimeTotalNS,1699743755367000000,1699743815388000000,22067619400
FlushQueue.queueSizeAvg,1699743755367000000,1699743815388000000,17.248652809853734
FlushQueue.waitingTimeMaxNs,1699743755367000000,1699743815388000000,2063597567
NonBlockingReadAction.failedExecutionsCount,1699743755367000000,1699743815388000000,4
AWTEventQueue.dispatchTimeMaxNs,1699743755367000000,1699743815388000000,4328521727
NonBlockingReadAction.failedExecutionTimeUs,1699743755367000000,1699743815388000000,1772940
FlushQueue.waitingTimeAvgNs,1699743755367000000,1699743815388000000,1.9482364910854504E8
AWTEventQueue.eventsDispatched,1699743755367000000,1699743815388000000,5152
FlushQueue.executionTimeMaxNs,1699743755367000000,1699743815388000000,1778384895
FlushQueue.executionTime90PNs,1699743755367000000,1699743815388000000,1335295
NonBlockingReadAction.finalizedExecutionTimeUs,1699743755367000000,1699743815388000000,1902019
NonBlockingReadAction.finalizedExecutionsCount,1699743755367000000,1699743815388000000,49
AWTEventQueue.dispatchTime90PNs,1699743755367000000,1699743815388000000,3653631
workspaceModel.updates.ms,1699743755367000000,1699743815388000000,170
workspaceModel.pre.handlers.ms,1699743755367000000,1699743815388000000,0
workspaceModel.to.snapshot.ms,1699743755367000000,1699743815388000000,2
workspaceModel.initializing.ms,1699743755367000000,1699743815388000000,3
workspaceModel.loading.from.cache.ms,1699743755367000000,1699743815388000000,369
