# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSizeAvg,1698974777364000000,1698974837394000000,4.2491827097711585
FlushQueue.queueSizeMax,1698974777364000000,1698974837394000000,59
FlushQueue.waitingTimeAvgNs,1698974777364000000,1698974837394000000,4.215238339556847E7
FlushQueue.waitingTimeMaxNs,1698974777364000000,1698974837394000000,1619001343
AWTEventQueue.dispatchTime90PNs,1698974777364000000,1698974837394000000,2260991
NonBlockingReadAction.failedExecutionTimeUs,1698974777364000000,1698974837394000000,50990
AWTEventQueue.dispatchTimeMaxNs,1698974777364000000,1698974837394000000,3254779903
NonBlockingReadAction.finalizedExecutionsCount,1698974777364000000,1698974837394000000,127
AWTEventQueue.dispatchTimeTotalNS,1698974777364000000,1698974837394000000,18843866300
FlushQueue.executionTimeMaxNs,1698974777364000000,1698974837394000000,1702887423
NonBlockingReadAction.failedExecutionsCount,1698974777364000000,1698974837394000000,4
FlushQueue.queueSize90P,1698974777364000000,1698974837394000000,16
FlushQueue.tasksExecuted,1698974777364000000,1698974837394000000,2753
AWTEventQueue.eventsDispatched,1698974777364000000,1698974837394000000,7063
FlushQueue.executionTime90PNs,1698974777364000000,1698974837394000000,794623
FlushQueue.executionTimeAvgNs,1698974777364000000,1698974837394000000,3083255.2618961134
FlushQueue.waitingTime90PNs,1698974777364000000,1698974837394000000,109576191
NonBlockingReadAction.finalizedExecutionTimeUs,1698974777364000000,1698974837394000000,6144757
AWTEventQueue.dispatchTimeAvgNs,1698974777364000000,1698974837394000000,2668827.2926518475
workspaceModel.initializing.ms,1698974777364000000,1698974837394000000,1
workspaceModel.loading.total.ms,1698974777364000000,1698974837394000000,315
workspaceModel.updates.ms,1698974777364000000,1698974837394000000,47
workspaceModel.pre.handlers.ms,1698974777364000000,1698974837394000000,1
workspaceModel.check.recursive.update.ms,1698974777364000000,1698974837394000000,1
workspaceModel.to.snapshot.ms,1698974777364000000,1698974837394000000,0
workspaceModel.update.unloaded.entities.ms,1698974777364000000,1698974837394000000,0
workspaceModel.collect.changes.ms,1698974777364000000,1698974837394000000,0
workspaceModel.init.bridges.ms,1698974777364000000,1698974837394000000,1
workspaceModel.replace.project.model.ms,1698974777364000000,1698974837394000000,0
workspaceModel.updates.precise.ms,1698974777364000000,1698974837394000000,11
workspaceModel.loading.from.cache.ms,1698974777364000000,1698974837394000000,299
workspaceModel.updates.count,1698974777364000000,1698974837394000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1698974777364000000,1698974837394000000,123
workspaceModel.orphan.listener.update.ms,1698974777364000000,1698974837394000000,2
jps.global.get.libraries.ms,1698974777364000000,1698974837394000000,0
workspaceModel.global.apply.state.to.project.ms,1698974777364000000,1698974837394000000,39
jps.storage.jps.conf.reader.load.component.ms,1698974777364000000,1698974837394000000,27
workspaceModel.global.updates.count,1698974777364000000,1698974837394000000,0
jps.save.global.entities.ms,1698974777364000000,1698974837394000000,0
jps.app.storage.content.reader.load.component.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1698974777364000000,1698974837394000000,0
jps.global.get.library.ms,1698974777364000000,1698974837394000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1698974777364000000,1698974837394000000,0
jps.artifact.entities.serializer.save.entities.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1698974777364000000,1698974837394000000,2
jps.app.storage.content.writer.save.component.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698974777364000000,1698974837394000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1698974777364000000,1698974837394000000,0
jps.load.project.to.empty.storage.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1698974777364000000,1698974837394000000,1436
workspaceModel.moduleBridge.before.changed.ms,1698974777364000000,1698974837394000000,0
jps.apply.loaded.storage.ms,1698974777364000000,1698974837394000000,0
jps.project.serializers.load.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1698974777364000000,1698974837394000000,0
jps.global.get.library.by.name.ms,1698974777364000000,1698974837394000000,0
jps.project.serializers.save.ms,1698974777364000000,1698974837394000000,1
jps.facet.change.listener.process.change.events.ms,1698974777364000000,1698974837394000000,0
workspaceModel.sync.entities.ms,1698974777364000000,1698974837394000000,0
jps.reload.project.entities.ms,1698974777364000000,1698974837394000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1698974777364000000,1698974837394000000,0
jps.artifact.entities.serializer.load.entities.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.entities.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1698974777364000000,1698974837394000000,0
jps.load.initial.state.ms,1698974777364000000,1698974837394000000,10
workspaceModel.mutableEntityStorage.entities.by.source.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1698974777364000000,1698974837394000000,0
jps.global.initialize.library.bridges.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1698974777364000000,1698974837394000000,0
jps.save.changed.project.entities.ms,1698974777364000000,1698974837394000000,1
jps.global.handle.before.change.events.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1698974777364000000,1698974837394000000,0
workspaceModel.global.updates.ms,1698974777364000000,1698974837394000000,0
workspaceModel.moduleBridge.update.option.ms,1698974777364000000,1698974837394000000,0
jps.global.initialize.library.bridges.after.loading.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1698974777364000000,1698974837394000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1698974777364000000,1698974837394000000,0
jps.library.entities.serializer.load.entities.ms,1698974777364000000,1698974837394000000,0
